Date	Article_Count	covid 19	covid-19	death	co-morbidities	comorbidities	death rate	coronavirus	  dead	  die	died	hospital	positive_score	 negative_score

24-03-2020	11	0	11	18	1	0	0	9	3	7	8	17	0.0733	0.0775
25-03-2020	10	0	11	3	0	0	0	18	1	0	4	12	0.0657	0.0422
26-03-2020	7	0	5	0	0	0	0	9	1	0	2	7	0.0810	0.0542
27-03-2020	9	0	7	9	0	0	0	18	0	4	6	15	0.0657	0.0576
28-03-2020	9	0	9	10	0	0	0	11	3	1	10	15	0.0499	0.0399
29-03-2020	7	0	18	4	0	0	0	7	0	1	2	4	0.0843	0.0682
30-03-2020	8	0	20	5	0	0	0	4	3	0	7	15	0.0499	0.0447
31-03-2020	10	0	7	8	0	0	0	14	0	1	11	7	0.0594	0.0454
01-04-2020	10	0	13	8	0	0	0	20	1	0	4	19	0.0498	0.0573
02-04-2020	18	0	20	7	0	0	0	33	0	2	15	15	0.0619	0.0559
03-04-2020	10	0	9	12	0	0	0	14	0	1	6	4	0.0637	0.0560
04-04-2020	12	0	16	14	0	0	0	19	1	4	9	15	0.0690	0.0493
05-04-2020	9	0	17	5	0	0	0	10	0	0	6	7	0.0771	0.0598
06-04-2020	12	0	13	6	0	0	0	20	0	1	4	11	0.0600	0.0418
07-04-2020	11	0	18	8	0	2	0	9	1	1	16	7	0.0568	0.0457
08-04-2020	0	0	0	0	0	0	0	0	0	0	0	0	0.0000	0.0000
09-04-2020	6	0	19	5	0	0	0	6	0	0	5	4	0.0700	0.0522
10-04-2020	5	0	14	4	0	0	0	6	1	1	2	6	0.0861	0.0758
11-04-2020	7	0	6	6	0	0	0	9	0	1	2	1	0.0580	0.0351
12-04-2020	11	0	22	10	0	0	0	8	1	3	10	26	0.0493	0.0472
13-04-2020	5	0	5	2	0	0	0	4	0	0	6	6	0.0446	0.0430
14-04-2020	4	0	2	2	0	0	0	3	0	0	1	3	0.0440	0.0429
15-04-2020	7	0	11	4	0	0	0	15	1	2	4	9	0.0671	0.0665
16-04-2020	8	0	12	10	1	0	0	5	1	0	10	10	0.0663	0.0516
17-04-2020	9	0	9	10	1	0	0	11	2	1	9	2	0.0539	0.0496
18-04-2020	14	0	32	18	0	0	0	19	4	2	13	8	0.0627	0.0540
19-04-2020	9	0	10	5	0	0	0	12	2	1	8	6	0.0773	0.0556
20-04-2020	8	0	12	8	0	0	0	22	3	0	15	11	0.0694	0.0574
21-04-2020	8	0	9	1	0	0	0	5	1	0	4	6	0.0523	0.0440
22-04-2020	7	0	13	1	0	1	0	5	0	1	4	2	0.0386	0.0352
23-04-2020	9	0	14	4	0	0	0	7	0	0	4	6	0.0491	0.0414
24-04-2020	7	0	16	9	0	0	0	12	3	0	5	10	0.0418	0.0416
25-04-2020	7	0	9	8	0	0	0	3	0	1	4	4	0.0348	0.0414
